timestamp,temp,hum,gas
2026-01-27T14:50:16.410166,26.1,27,717
2026-01-27T14:50:17.681971,26.1,27,717
2026-01-27T14:50:18.959032,26.1,27,717
2026-01-27T14:50:20.211889,26.1,27,717
2026-01-27T14:50:21.477905,26.1,27,717
2026-01-27T14:50:22.764929,26.1,27,717
2026-01-27T14:50:24.054512,26.1,27,717
2026-01-27T14:50:25.356673,26.1,27,717
2026-01-27T14:50:26.599693,26.1,27,717
2026-01-27T14:50:27.842925,26.1,27,717
2026-01-27T14:50:29.131171,26.1,27,717
2026-01-27T14:50:30.381830,26.1,27,717
2026-01-27T14:50:31.711767,26.1,27,717
2026-01-27T14:50:32.927127,26.1,27,717
2026-01-27T14:50:34.192539,26.1,27,717
2026-01-27T14:50:35.458505,26.1,27,717
2026-01-27T14:50:36.762922,26.1,45,717
2026-01-27T14:50:38.059551,26.1,61,717
2026-01-27T14:50:39.327058,24.2,61,717
2026-01-27T14:50:40.604668,24.2,61,430
2026-01-27T14:50:41.866765,24.2,61,266
2026-01-27T14:50:43.153374,24.2,61,266
2026-01-27T14:50:44.392205,24.2,61,266
2026-01-27T14:50:45.631554,24.2,61,266
2026-01-27T14:50:46.915037,24.2,61,266
2026-01-27T14:50:48.156478,24.2,61,266
2026-01-27T14:50:49.421600,24.2,61,266
2026-01-27T14:50:50.666922,24.2,61,266
2026-01-27T14:50:51.920305,24.2,61,266
2026-01-27T14:50:53.195772,24.2,61,266
2026-01-27T14:50:54.543447,24.2,61,266
2026-01-27T14:50:55.811310,24.2,61,266
2026-01-27T14:50:57.099056,24.2,61,266
2026-01-27T14:50:58.349931,24.2,61,266
2026-01-27T14:50:59.621923,24.2,61,266
2026-01-27T14:51:00.863958,24.2,61,266
2026-01-27T14:51:02.113396,24.2,61,266
2026-01-27T14:51:03.385735,24.2,61,266
2026-01-27T14:51:04.653781,24.2,61,266
2026-01-27T14:51:05.886995,24.2,61,266
2026-01-27T14:51:07.290874,24.2,61,266
2026-01-27T14:51:08.520318,24.2,61,266
2026-01-27T14:51:09.792432,24.2,61,266
2026-01-27T14:51:11.021950,24.2,61,266
2026-01-27T14:51:12.458603,24.2,61,266
2026-01-27T14:51:13.802832,25.2,10,266
2026-01-27T14:51:15.189236,25.2,10,696
2026-01-27T14:51:16.506400,24.2,10,696
2026-01-27T14:51:17.826922,18.1,10,696
2026-01-27T14:51:19.106367,18.1,10,696
2026-01-27T14:51:20.322824,18.1,10,696
2026-01-27T14:51:55.260087,18.1,10,696
